Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
20/09/2024,Cagliari,Empoli,0,2,A,21,9,2,4,2.15,3.4,3.4,2024-25,Serie A,I1
20/09/2024,Verona,Torino,2,3,A,8,16,2,3,2.7,3.0,2.8,2024-25,Serie A,I1
21/09/2024,Venezia,Genoa,2,0,H,12,9,4,0,3.25,3.2,2.35,2024-25,Serie A,I1
21/09/2024,Juventus,Napoli,0,0,D,9,8,1,1,2.2,3.4,3.3,2024-25,Serie A,I1
21/09/2024,Lecce,Parma,2,2,D,14,24,3,10,2.2,3.5,3.25,2024-25,Serie A,I1
22/09/2024,Fiorentina,Lazio,2,1,H,14,20,5,6,2.25,3.4,3.2,2024-25,Serie A,I1
22/09/2024,Monza,Bologna,1,2,A,6,15,3,8,3.3,3.1,2.4,2024-25,Serie A,I1
22/09/2024,Roma,Udinese,3,0,H,14,9,6,3,1.62,4.2,5.25,2024-25,Serie A,I1
22/09/2024,Inter,Milan,1,2,A,13,16,4,8,1.65,4.0,5.25,2024-25,Serie A,I1
24/09/2024,Atalanta,Como,2,3,A,8,14,5,7,1.44,4.5,7.0,2024-25,Serie A,I1
27/09/2024,Milan,Lecce,3,0,H,15,16,6,7,1.33,5.75,8.0,2024-25,Serie A,I1
28/09/2024,Udinese,Inter,2,3,A,10,16,3,7,7.0,4.33,1.48,2024-25,Serie A,I1
28/09/2024,Genoa,Juventus,0,3,A,7,12,2,3,5.5,3.5,1.7,2024-25,Serie A,I1
28/09/2024,Bologna,Atalanta,1,1,D,5,23,1,5,3.0,3.3,2.4,2024-25,Serie A,I1
29/09/2024,Torino,Lazio,2,3,A,12,13,7,7,2.9,3.1,2.55,2024-25,Serie A,I1
29/09/2024,Como,Verona,3,2,H,24,6,11,3,2.1,3.4,3.6,2024-25,Serie A,I1
29/09/2024,Roma,Venezia,2,1,H,22,18,5,7,1.4,4.75,8.0,2024-25,Serie A,I1
29/09/2024,Empoli,Fiorentina,0,0,D,8,13,1,0,3.4,3.3,2.2,2024-25,Serie A,I1
29/09/2024,Napoli,Monza,2,0,H,11,5,2,1,1.36,5.0,8.5,2024-25,Serie A,I1
30/09/2024,Parma,Cagliari,2,3,A,18,11,4,4,2.1,3.6,3.4,2024-25,Serie A,I1
04/10/2024,Napoli,Como,3,1,H,9,11,6,2,1.45,4.33,7.0,2024-25,Serie A,I1
04/10/2024,Verona,Venezia,2,1,H,13,11,4,2,2.5,3.2,2.9,2024-25,Serie A,I1
